cleanup_id,gvp_id,complaint_id,cleaned_date,response_time_hours,waste_collected_kg,cost_estimate,cleaned_by
CL00851,GVP057,C00690,2025-08-19,83,72.8,497.76,Team B
CL00852,GVP079,C02493,2025-03-14,84,184.8,986.86,Team B
CL00853,GVP007,C01386,2026-03-17,42,78.5,403.6,Team C
CL00854,GVP232,C02424,2026-04-20,50,291.9,1442.45,Team B
CL00855,GVP276,C01167,2025-09-09,40,114.2,597.79,Team A
CL00856,GVP104,C02039,2026-03-21,82,134.1,815.48,Team D
CL00857,GVP046,C00274,2026-10-03,15,318.7,1477.76,Team A
CL00858,GVP208,C00655,2025-02-17,58,146.7,802.49,Team A
CL00859,GVP186,C01606,2026-07-14,39,66.6,457.09,Team C
CL00860,GVP275,C02344,2025-10-22,62,148.8,986.97,Team C
CL00861,GVP244,C03068,2026-05-30,46,254.2,1257.29,Team B
CL00862,GVP138,C00015,2026-12-12,24,208.8,1216.2,Team A
CL00863,GVP235,C02881,2025-02-22,50,113.3,674.79,Team C
CL00864,GVP253,C00949,2025-05-06,40,57.2,373.73,Team B
CL00865,GVP257,C02079,2025-07-17,76,60.3,341.95,Team D
CL00866,GVP098,C00071,2026-11-21,211,150.2,787.54,Team D
CL00867,GVP050,C01898,2026-11-10,31,58.7,360.02,Team D
CL00868,GVP286,C01391,2026-08-06,29,103.6,676.17,Team A
CL00869,GVP003,C02032,2025-07-07,44,181.9,835.25,Team A
CL00870,GVP155,C03433,2025-11-12,60,154.5,886.67,Team B
CL00871,GVP269,C01586,2026-11-26,41,118.9,676.55,Team C
CL00872,GVP019,C00915,2025-07-25,118,91.0,509.75,Team B
CL00873,GVP031,C00913,2025-06-20,58,156.6,966.91,Team D
CL00874,GVP115,C03545,2025-05-21,81,51.9,386.62,Team C
CL00875,GVP112,C01181,2025-06-03,23,77.5,391.95,Team C
CL00876,GVP020,C00909,2026-06-22,56,128.8,669.85,Team A
CL00877,GVP085,C03241,2025-02-02,49,165.1,854.37,Team B
CL00878,GVP210,C02459,2025-04-13,176,160.5,888.64,Team D
CL00879,GVP052,C02684,2026-10-27,36,90.4,545.34,Team D
CL00880,GVP087,C03669,2025-09-12,41,203.9,1139.45,Team A
CL00881,GVP014,C01492,2025-03-27,51,35.6,195.83,Team B
CL00882,GVP068,C03540,2025-04-21,59,320,1352.69,Team C
CL00883,GVP120,C00724,2026-10-24,49,173.1,1047.06,Team C
CL00884,GVP067,C00461,2025-09-20,59,71.0,561.26,Team B
CL00885,GVP127,C01692,2025-11-16,79,83.1,438.72,Team D
CL00886,GVP093,C02525,2025-05-22,62,110.1,695.01,Team B
CL00887,GVP107,C03981,2025-05-13,35,45.5,258.96,Team C
CL00888,GVP259,C01249,2025-06-29,36,132.4,644.62,Team B
CL00889,GVP031,C02994,2025-08-26,24,56.8,430.42,Team D
CL00890,GVP292,C02350,2026-11-06,34,267.1,1182.49,Team D
CL00891,GVP039,C00306,2025-11-16,116,168.1,967.38,Team C
CL00892,GVP151,C02236,2026-03-01,44,113.6,682.53,Team C
CL00893,GVP267,C01659,2025-02-17,30,267.3,1307.3,Team B
CL00894,GVP207,C02078,2025-08-11,56,137.7,881.39,Team B
CL00895,GVP244,C00162,2026-10-30,53,147.7,837.76,Team A
CL00896,GVP230,C02036,2026-09-28,101,112.8,755.24,Team B
CL00897,GVP240,C02235,2026-04-22,33,240.0,1192.14,Team A
CL00898,GVP242,C01818,2025-03-29,77,251.8,1084.65,Team B
CL00899,GVP249,C02767,2026-05-04,46,93.0,523.34,Team A
CL00900,GVP074,C00025,2026-12-12,48,123.5,612.35,Team B
CL00901,GVP251,C03744,2025-12-19,65,133.3,758.11,Team A
CL00902,GVP001,C01481,2025-05-29,28,110.4,504.72,Team D
CL00903,GVP252,C00407,2026-10-22,39,136.9,639.05,Team B
CL00904,GVP270,C01754,2026-08-28,45,244.8,1488.76,Team A
CL00905,GVP100,C03607,2026-07-02,40,171.0,878.87,Team B
CL00906,GVP295,C00302,2026-06-30,16,45.9,370.31,Team C
CL00907,GVP207,C03931,2025-09-25,29,122.6,750.61,Team B
CL00908,GVP216,C02627,2026-04-19,40,320,1887.51,Team C
CL00909,GVP077,C02858,2025-03-04,58,114.2,560.43,Team D
CL00910,GVP162,C03161,2026-08-13,112,89.7,401.3,Team C
CL00911,GVP298,C00211,2026-04-14,45,82.4,475.23,Team A
CL00912,GVP141,C03467,2025-04-05,25,83.8,455.85,Team C
CL00913,GVP236,C00607,2026-10-08,64,104.1,502.82,Team B
CL00914,GVP135,C00745,2026-01-04,17,121.1,574.48,Team C
CL00915,GVP098,C00612,2026-01-18,33,56.9,390.54,Team B
CL00916,GVP082,C03437,2026-09-11,119,130.5,609.1,Team C
CL00917,GVP183,C03270,2025-04-11,45,97.3,468.93,Team B
CL00918,GVP042,C00242,2026-11-30,39,146.6,792.07,Team B
CL00919,GVP051,C01711,2026-02-01,18,45.4,388.83,Team C
CL00920,GVP153,C00662,2025-09-03,54,80.5,436.2,Team C
CL00921,GVP264,C03296,2026-10-13,79,131.3,866.21,Team C
CL00922,GVP204,C02770,2026-10-07,47,87.8,551.01,Team C
CL00923,GVP295,C03893,2026-08-27,164,207.0,1044.77,Team C
CL00924,GVP007,C00019,2026-11-28,23,31.5,255.39,Team B
CL00925,GVP189,C00318,2026-06-10,51,130.3,727.1,Team B
CL00926,GVP119,C03195,2025-08-20,51,155.9,903.02,Team C
CL00927,GVP095,C02477,2025-09-27,156,91.8,541.51,Team B
CL00928,GVP241,C00997,2026-05-01,41,320,1705.84,Team A
CL00929,GVP081,C01322,2026-03-14,32,191.9,952.65,Team C
CL00930,GVP031,C03922,2025-11-21,56,132.8,702.49,Team A
CL00931,GVP069,C03054,2025-07-01,58,320,1440.16,Team B
CL00932,GVP249,C02398,2025-03-11,42,100.3,691.3,Team C
CL00933,GVP168,C02369,2025-09-14,41,34.6,224.61,Team A
CL00934,GVP031,C00637,2026-06-12,47,144.6,697.84,Team B
CL00935,GVP194,C01050,2025-08-14,78,104.3,586.43,Team A
CL00936,GVP142,C00872,2025-09-19,34,173.9,972.33,Team A
CL00937,GVP233,C03279,2025-06-30,56,207.2,1061.12,Team C
CL00938,GVP161,C03608,2026-12-17,16,95.5,635.89,Team D
CL00939,GVP035,C02839,2025-05-17,46,91.4,462.92,Team D
CL00940,GVP045,C03115,2025-06-12,28,117.6,705.05,Team C
CL00941,GVP262,C00406,2026-04-19,73,101.2,548.87,Team A
CL00942,GVP056,C00678,2025-05-15,60,99.7,499.03,Team B
CL00943,GVP198,C00416,2026-07-17,78,71.6,451.23,Team D
CL00944,GVP082,C01278,2025-09-29,42,85.5,363.1,Team B
CL00945,GVP145,C02958,2025-10-26,54,178.7,1153.32,Team B
CL00946,GVP141,C01830,2025-06-03,88,40.7,342.4,Team A
CL00947,GVP112,C00269,2026-02-16,70,223.5,896.16,Team C
CL00948,GVP149,C02509,2026-01-17,183,45.4,331.73,Team A
CL00949,GVP200,C03580,2026-09-16,64,61.0,414.52,Team C
CL00950,GVP041,C01299,2026-09-02,25,99.9,453.93,Team B
CL00951,GVP020,C00145,2025-02-16,52,194.2,1080.71,Team D
CL00952,GVP298,C00356,2026-10-26,17,108.9,736.26,Team B
CL00953,GVP268,C03114,2025-04-22,70,219.3,1046.17,Team C
CL00954,GVP098,C00292,2025-02-18,84,89.5,483.38,Team C
CL00955,GVP289,C03055,2025-01-22,31,320,1633.46,Team D
CL00956,GVP235,C03979,2025-05-26,69,240.4,1273.78,Team D
CL00957,GVP234,C03980,2026-05-09,149,131.5,817.64,Team D
CL00958,GVP121,C02559,2025-11-10,29,104.1,588.54,Team B
CL00959,GVP297,C02390,2025-09-01,43,197.6,990.82,Team D
CL00960,GVP299,C02163,2026-05-28,21,88.6,548.08,Team B
CL00961,GVP234,C01476,2025-05-23,42,156.2,707.64,Team A
CL00962,GVP197,C02938,2026-06-25,110,236.4,1303.2,Team D
CL00963,GVP232,C02276,2025-01-24,38,251.3,1450.59,Team A
CL00964,GVP115,C02298,2026-02-17,60,275.3,1580.47,Team C
CL00965,GVP023,C00818,2025-04-04,27,252.8,1250.9,Team B
CL00966,GVP058,C02742,2025-07-02,29,71.6,476.1,Team D
CL00967,GVP008,C02321,2025-02-13,49,85.4,455.13,Team B
CL00968,GVP130,C01603,2026-07-12,92,82.6,348.18,Team B
CL00969,GVP234,C02735,2025-01-22,51,154.7,744.53,Team C
CL00970,GVP250,C03635,2026-03-20,60,225.1,1093.16,Team B
CL00971,GVP155,C03609,2026-03-31,156,108.4,555.68,Team D
CL00972,GVP059,C02987,2025-11-19,49,75.9,360.37,Team D
CL00973,GVP286,C02707,2026-01-19,121,172.4,1095.12,Team C
CL00974,GVP045,C01926,2026-09-19,70,163.9,1005.66,Team B
CL00975,GVP094,C01748,2026-03-26,41,81.9,474.26,Team D
CL00976,GVP293,C00027,2026-06-29,38,226.6,1255.7,Team C
CL00977,GVP065,C01419,2025-07-09,47,43.3,307.82,Team B
CL00978,GVP067,C01519,2026-12-06,23,164.9,991.05,Team C
CL00979,GVP284,C01475,2025-08-12,76,208.6,938.62,Team B
CL00980,GVP221,C00470,2025-06-01,129,176.6,808.29,Team A
CL00981,GVP273,C01687,2027-01-04,136,113.0,623.48,Team B
CL00982,GVP149,C02186,2026-09-23,51,84.0,373.97,Team C
CL00983,GVP142,C03318,2025-06-11,35,61.5,439.34,Team D
CL00984,GVP115,C03192,2026-12-14,79,61.0,353.19,Team C
CL00985,GVP242,C03911,2025-05-01,22,98.2,546.49,Team B
CL00986,GVP118,C01211,2026-07-23,17,230.9,1153.31,Team A
CL00987,GVP278,C01992,2026-08-24,96,91.4,628.42,Team A
CL00988,GVP175,C00964,2025-09-06,29,269.9,1552.22,Team A
CL00989,GVP219,C01229,2025-03-22,47,83.4,445.98,Team C
CL00990,GVP104,C02017,2026-04-29,19,144.5,894.08,Team B
CL00991,GVP142,C02465,2026-03-10,40,146.1,812.0,Team B
CL00992,GVP049,C02283,2025-01-16,15,118.6,693.77,Team C
CL00993,GVP007,C02001,2025-01-16,72,69.8,518.23,Team C
CL00994,GVP165,C02054,2026-07-04,44,164.2,777.42,Team B
CL00995,GVP125,C01120,2025-03-29,43,55.8,404.77,Team A
CL00996,GVP054,C01750,2026-05-02,127,115.0,694.42,Team C
CL00997,GVP075,C02824,2026-07-21,51,44.0,377.02,Team D
CL00998,GVP072,C00394,2025-07-11,110,89.2,570.05,Team D
CL00999,GVP045,C03698,2025-11-28,67,77.8,427.57,Team C
CL01000,GVP042,C03306,2026-05-20,60,151.9,912.18,Team D
CL01001,GVP011,C00701,2025-06-17,30,199.4,974.04,Team A
CL01002,GVP116,C01639,2026-06-10,124,150.6,754.18,Team A
CL01003,GVP193,C00941,2025-03-10,62,150.7,738.29,Team B
CL01004,GVP220,C03780,2026-10-30,136,218.4,970.77,Team C
CL01005,GVP262,C03293,2026-03-26,53,93.1,515.79,Team D
CL01006,GVP197,C00012,2025-11-18,38,107.9,674.16,Team B
CL01007,GVP029,C00755,2026-12-09,70,109.1,548.64,Team C
CL01008,GVP021,C03656,2026-12-06,51,69.9,444.56,Team A
CL01009,GVP100,C00450,2026-07-16,77,181.2,870.16,Team D
CL01010,GVP163,C03585,2026-04-18,86,61.7,363.4,Team B
CL01011,GVP236,C03419,2025-01-15,61,320,1827.22,Team D
CL01012,GVP036,C00412,2026-02-16,18,102.7,642.72,Team B
CL01013,GVP251,C03909,2025-03-24,39,135.2,832.38,Team D
CL01014,GVP151,C02521,2026-08-11,88,256.6,1165.02,Team D
CL01015,GVP037,C00239,2026-08-03,142,139.7,866.65,Team B
CL01016,GVP131,C00708,2025-04-14,58,72.1,427.92,Team B
CL01017,GVP042,C03210,2026-05-01,34,203.4,966.0,Team C
CL01018,GVP274,C01007,2025-11-20,72,219.3,1045.19,Team B
CL01019,GVP271,C00343,2026-07-31,22,89.0,493.53,Team C
CL01020,GVP115,C03617,2025-02-07,55,166.9,730.1,Team B
CL01021,GVP253,C03701,2025-10-26,52,83.0,388.54,Team D
CL01022,GVP280,C00129,2025-11-11,66,94.1,425.25,Team D
CL01023,GVP201,C00631,2026-08-04,46,320,1343.54,Team A
CL01024,GVP039,C00813,2025-12-31,16,72.6,416.58,Team D
CL01025,GVP163,C00110,2026-03-13,26,228.8,1266.44,Team C
CL01026,GVP198,C01523,2025-09-18,39,77.7,493.15,Team A
CL01027,GVP147,C01346,2025-09-24,55,129.0,871.31,Team D
CL01028,GVP194,C01943,2025-12-14,26,142.8,599.46,Team B
CL01029,GVP241,C02128,2025-08-02,20,111.0,656.45,Team C
CL01030,GVP228,C02352,2026-06-07,99,124.4,749.69,Team B
CL01031,GVP046,C03235,2025-10-25,97,99.9,592.09,Team A
CL01032,GVP272,C00259,2025-12-01,34,295.5,1149.03,Team C
CL01033,GVP138,C02780,2026-05-12,135,49.1,351.62,Team A
CL01034,GVP076,C02011,2026-01-12,41,103.2,619.08,Team A
CL01035,GVP019,C03704,2025-01-27,54,161.5,845.28,Team D
CL01036,GVP102,C01491,2026-11-03,73,188.5,873.15,Team A
CL01037,GVP059,C01882,2026-02-04,80,154.6,745.51,Team A
CL01038,GVP118,C01938,2025-10-05,34,273.9,1518.76,Team B
CL01039,GVP010,C01894,2025-08-06,55,70.0,410.85,Team B
CL01040,GVP146,C00244,2026-01-06,66,150.6,666.08,Team C
CL01041,GVP223,C00758,2025-06-11,56,124.1,533.37,Team B
CL01042,GVP279,C01920,2026-01-28,61,228.6,1286.15,Team D
CL01043,GVP076,C00651,2026-08-04,72,115.1,657.1,Team A
CL01044,GVP151,C03276,2026-04-07,90,56.3,317.33,Team B
CL01045,GVP218,C02102,2025-04-01,64,217.2,1197.36,Team B
CL01046,GVP256,C02943,2026-12-03,39,121.9,610.8,Team D
CL01047,GVP153,C00251,2026-10-06,25,90.9,560.11,Team A
CL01048,GVP224,C03659,2026-07-11,60,162.5,805.84,Team C
CL01049,GVP001,C01399,2026-09-03,112,145.8,742.69,Team D
CL01050,GVP222,C02183,2026-01-31,27,85.6,512.81,Team A
CL01051,GVP192,C03000,2025-11-20,81,68.1,461.08,Team C
CL01052,GVP033,C01555,2026-07-15,40,58.7,419.95,Team C
CL01053,GVP251,C02739,2025-03-19,34,186.5,1113.23,Team C
CL01054,GVP101,C03272,2026-08-12,47,245.8,1144.35,Team A
CL01055,GVP083,C00141,2026-12-28,66,88.9,481.14,Team C
CL01056,GVP021,C01206,2026-11-10,50,153.3,865.38,Team B
CL01057,GVP043,C03398,2026-08-18,202,104.7,569.89,Team C
CL01058,GVP001,C00652,2026-07-03,92,93.6,530.7,Team D
CL01059,GVP276,C03691,2026-09-25,107,128.1,652.12,Team D
CL01060,GVP290,C01124,2026-11-06,71,177.3,1056.83,Team C
CL01061,GVP152,C03016,2026-06-26,37,194.4,1100.59,Team D
CL01062,GVP041,C00820,2025-03-04,24,114.0,717.78,Team B
CL01063,GVP002,C00732,2025-04-02,123,182.4,1107.83,Team A
CL01064,GVP158,C01983,2026-05-29,113,80.5,377.69,Team D
CL01065,GVP203,C00062,2026-09-03,16,108.9,740.34,Team C
CL01066,GVP168,C00584,2025-01-25,44,112.6,511.61,Team A
CL01067,GVP110,C03137,2026-03-04,22,39.9,286.13,Team C
CL01068,GVP115,C03313,2025-02-14,51,138.6,859.69,Team A
CL01069,GVP251,C01600,2025-10-25,54,132.0,815.11,Team C
CL01070,GVP263,C02051,2025-01-19,72,63.9,328.63,Team D
CL01071,GVP187,C00526,2026-07-27,97,116.4,636.97,Team A
CL01072,GVP272,C01984,2026-05-20,142,320,1610.32,Team B
CL01073,GVP088,C01293,2025-07-29,58,126.2,757.92,Team B
CL01074,GVP149,C01875,2026-03-26,30,209.0,1037.04,Team B
CL01075,GVP052,C03327,2026-12-20,87,229.0,1359.72,Team B
CL01076,GVP007,C01999,2026-01-05,41,83.5,532.15,Team D
CL01077,GVP050,C02692,2025-05-31,42,225.0,914.9,Team A
CL01078,GVP003,C01764,2026-02-23,177,172.0,932.64,Team B
CL01079,GVP014,C03158,2026-09-12,72,118.3,559.71,Team B
CL01080,GVP277,C03812,2025-02-17,49,138.8,710.34,Team B
CL01081,GVP044,C02577,2025-02-21,39,154.5,840.36,Team D
CL01082,GVP153,C00523,2025-06-05,43,78.0,440.01,Team A
CL01083,GVP135,C01005,2026-12-22,151,93.2,652.05,Team D
CL01084,GVP194,C01552,2026-08-06,24,226.4,1093.72,Team D
CL01085,GVP076,C02394,2026-07-31,296,112.8,504.92,Team D
CL01086,GVP146,C00591,2026-03-03,72,125.9,735.76,Team B
CL01087,GVP054,C00373,2026-11-16,32,53.3,331.06,Team D
CL01088,GVP080,C02679,2025-11-16,59,172.2,810.52,Team B
CL01089,GVP010,C02400,2026-12-09,31,102.1,437.3,Team C
CL01090,GVP284,C00959,2025-04-08,30,98.5,495.28,Team C
CL01091,GVP243,C01202,2025-12-12,18,164.9,837.86,Team D
CL01092,GVP271,C02727,2026-01-05,83,222.7,1220.82,Team B
CL01093,GVP203,C03854,2026-09-29,22,114.5,694.92,Team A
CL01094,GVP012,C00293,2026-07-31,86,130.7,768.83,Team D
CL01095,GVP036,C02512,2025-01-18,21,53.4,291.63,Team B
CL01096,GVP230,C03050,2026-12-08,31,183.7,1032.81,Team C
CL01097,GVP198,C03009,2025-06-04,90,123.0,784.12,Team B
CL01098,GVP234,C01878,2025-01-26,66,71.0,416.33,Team B
CL01099,GVP060,C00923,2025-08-19,50,186.2,1196.27,Team A
CL01100,GVP116,C03032,2025-03-14,104,205.0,1050.29,Team B
CL01101,GVP249,C00520,2026-10-12,36,224.1,1163.76,Team A
CL01102,GVP189,C02721,2025-11-27,33,54.7,389.38,Team C
CL01103,GVP132,C00779,2025-11-01,62,71.5,396.59,Team B
CL01104,GVP045,C03716,2026-07-19,39,149.9,774.37,Team C
CL01105,GVP073,C03397,2025-03-19,70,283.9,1278.61,Team B
CL01106,GVP162,C00491,2025-07-01,37,48.0,319.59,Team D
CL01107,GVP164,C01053,2025-08-20,123,193.2,960.76,Team C
CL01108,GVP275,C00776,2026-06-13,44,82.9,498.78,Team B
CL01109,GVP045,C02408,2026-11-25,64,156.8,837.61,Team B
CL01110,GVP296,C02718,2026-05-13,79,103.7,671.15,Team B
CL01111,GVP168,C01073,2025-07-13,23,281.9,1394.07,Team C
CL01112,GVP179,C02111,2026-05-16,39,163.3,894.13,Team A
CL01113,GVP128,C00393,2026-03-06,39,89.8,603.24,Team C
CL01114,GVP014,C02034,2026-05-17,45,110.6,734.15,Team A
CL01115,GVP298,C00060,2026-10-11,30,301.0,1438.88,Team A
CL01116,GVP247,C03287,2026-03-12,53,105.1,507.8,Team D
CL01117,GVP142,C03756,2025-07-24,83,248.5,1179.06,Team A
CL01118,GVP010,C00564,2025-09-09,132,164.5,937.15,Team B
CL01119,GVP020,C02661,2025-04-03,48,251.7,1014.89,Team C
CL01120,GVP126,C02578,2026-11-14,66,262.0,1402.97,Team B
CL01121,GVP140,C01210,2026-05-15,17,320,1330.92,Team A
CL01122,GVP162,C02731,2025-09-15,40,24.5,242.68,Team C
CL01123,GVP184,C01082,2026-11-20,78,64.8,377.61,Team B
CL01124,GVP170,C03964,2025-04-17,18,72.3,385.87,Team C
CL01125,GVP277,C02093,2025-10-03,30,100.1,619.59,Team B
CL01126,GVP174,C00137,2025-04-09,149,87.0,478.84,Team C
CL01127,GVP198,C00728,2026-05-15,74,102.3,581.63,Team C
CL01128,GVP106,C01330,2025-05-29,28,320,1681.39,Team A
CL01129,GVP102,C00365,2026-05-15,74,116.2,762.18,Team A
CL01130,GVP168,C01408,2026-12-12,54,121.5,798.48,Team D
CL01131,GVP208,C02850,2026-07-03,40,65.5,383.03,Team C
CL01132,GVP129,C03162,2026-03-29,69,260.9,1270.28,Team A
CL01133,GVP188,C03208,2026-07-30,71,288.6,1512.05,Team B
CL01134,GVP279,C00782,2025-03-06,33,320,1357.92,Team A
CL01135,GVP218,C01507,2026-04-02,59,54.8,399.0,Team A
CL01136,GVP243,C02425,2025-02-28,23,319.1,1348.5,Team B
CL01137,GVP056,C01801,2026-07-10,107,129.0,623.28,Team D
CL01138,GVP066,C03025,2026-07-28,48,138.1,633.51,Team C
CL01139,GVP101,C02177,2026-10-31,108,92.6,535.72,Team C
CL01140,GVP266,C03732,2026-01-22,78,289.2,1601.64,Team B
CL01141,GVP077,C03784,2026-09-25,56,193.7,1094.72,Team D
CL01142,GVP275,C03643,2025-01-08,60,169.0,771.31,Team A
CL01143,GVP267,C02518,2025-02-26,44,197.5,905.1,Team A
CL01144,GVP010,C01319,2026-04-19,24,49.3,356.95,Team D
CL01145,GVP267,C01784,2026-07-20,33,122.4,794.45,Team C
CL01146,GVP267,C02174,2026-03-20,46,65.5,351.82,Team A
CL01147,GVP277,C03261,2026-05-26,75,186.9,1034.64,Team B
CL01148,GVP084,C03383,2026-02-06,51,116.0,546.37,Team A
CL01149,GVP222,C03443,2025-04-21,22,104.0,588.5,Team D
CL01150,GVP237,C02967,2025-12-14,29,60.9,346.25,Team A
CL01151,GVP212,C03140,2025-11-04,78,89.4,498.82,Team B
CL01152,GVP198,C01709,2026-04-02,89,73.4,515.62,Team C
CL01153,GVP220,C03222,2026-11-23,47,96.7,474.41,Team A
CL01154,GVP263,C03712,2025-01-16,49,194.5,1032.37,Team D
CL01155,GVP181,C01260,2025-06-23,125,131.8,732.65,Team C
CL01156,GVP074,C03498,2026-11-27,159,175.7,913.95,Team A
CL01157,GVP123,C01153,2026-07-20,53,187.1,898.71,Team B
CL01158,GVP166,C02389,2025-08-03,89,69.0,383.03,Team B
CL01159,GVP293,C03612,2025-09-25,46,207.0,1007.58,Team D
CL01160,GVP266,C01996,2025-06-30,26,174.9,760.81,Team B
CL01161,GVP046,C00374,2026-02-20,16,151.6,871.84,Team C
CL01162,GVP171,C03989,2026-01-11,88,119.6,702.75,Team D
CL01163,GVP008,C02443,2025-01-18,38,112.6,590.32,Team D
CL01164,GVP183,C00742,2025-09-12,80,98.5,701.48,Team B
CL01165,GVP291,C03092,2025-11-16,23,69.1,432.87,Team B
CL01166,GVP096,C03689,2025-08-31,44,99.1,579.91,Team B
CL01167,GVP253,C00007,2026-05-01,53,155.1,923.79,Team D
CL01168,GVP138,C01314,2026-06-01,44,301.6,1769.53,Team D
CL01169,GVP258,C02790,2025-04-10,46,27.1,155.33,Team B
CL01170,GVP162,C03375,2026-04-16,23,145.3,830.83,Team B
CL01171,GVP078,C02491,2025-08-15,45,320,1474.2,Team C
CL01172,GVP187,C02055,2026-11-03,51,79.8,516.72,Team B
CL01173,GVP298,C00860,2025-08-01,49,123.0,808.94,Team A
CL01174,GVP299,C02894,2026-04-12,77,166.2,764.53,Team A
CL01175,GVP275,C02413,2026-03-06,144,163.2,993.03,Team C
CL01176,GVP093,C00441,2026-02-13,34,117.0,575.21,Team A
CL01177,GVP046,C00837,2025-08-03,78,277.3,1234.68,Team D
CL01178,GVP141,C03066,2025-06-18,79,63.1,408.2,Team B
CL01179,GVP243,C03357,2025-08-20,20,320,1915.19,Team B
CL01180,GVP027,C01924,2026-06-28,334,114.3,677.33,Team B
CL01181,GVP040,C02042,2025-06-10,29,174.9,1061.6,Team A
CL01182,GVP021,C03455,2025-11-14,76,44.6,280.77,Team C
CL01183,GVP012,C02274,2026-01-21,65,195.2,907.17,Team B
CL01184,GVP089,C03657,2025-11-27,30,127.9,681.02,Team B
CL01185,GVP196,C03554,2026-07-02,48,320,1482.67,Team D
CL01186,GVP125,C02722,2026-07-15,59,181.9,1112.28,Team D
CL01187,GVP022,C00294,2025-06-06,49,179.6,1046.34,Team D
CL01188,GVP132,C01337,2026-08-14,41,320,1475.51,Team B
CL01189,GVP198,C00447,2025-01-29,91,222.4,1068.38,Team C
CL01190,GVP014,C01902,2025-12-17,54,169.1,1023.94,Team A
CL01191,GVP144,C00855,2025-11-09,28,65.9,354.45,Team A
CL01192,GVP212,C00968,2026-11-14,46,236.4,1229.74,Team C
CL01193,GVP032,C01685,2026-12-06,17,143.9,709.87,Team A
CL01194,GVP211,C01135,2026-03-29,43,94.8,592.33,Team D
CL01195,GVP190,C02918,2026-02-19,56,114.6,641.97,Team B
CL01196,GVP098,C00574,2026-04-17,46,185.8,1053.84,Team B
CL01197,GVP179,C01827,2025-07-27,39,132.3,732.81,Team C
CL01198,GVP106,C02738,2025-11-22,28,211.1,953.92,Team B
CL01199,GVP034,C03886,2026-11-06,94,109.4,665.23,Team C
CL01200,GVP287,C03723,2025-11-07,40,250.5,1421.87,Team C
CL01201,GVP134,C02704,2025-08-29,40,180.6,881.45,Team D
CL01202,GVP214,C01342,2025-03-04,125,105.1,525.22,Team B
CL01203,GVP200,C03519,2025-08-27,58,146.8,752.2,Team A
CL01204,GVP073,C01463,2025-09-24,77,103.4,553.71,Team D
CL01205,GVP017,C00312,2025-07-16,49,98.8,595.3,Team D
CL01206,GVP286,C03724,2026-06-08,38,109.8,493.38,Team D
CL01207,GVP001,C00888,2026-03-16,43,71.7,446.15,Team C
CL01208,GVP015,C00079,2025-05-07,22,107.3,685.08,Team C
CL01209,GVP296,C02836,2025-09-07,18,111.5,609.5,Team C
CL01210,GVP044,C00232,2026-12-06,26,136.6,674.51,Team C
CL01211,GVP063,C01341,2025-05-05,55,298.3,1349.03,Team C
CL01212,GVP159,C03538,2025-07-01,53,320,1395.78,Team A
CL01213,GVP046,C02872,2025-06-07,62,209.8,905.77,Team C
CL01214,GVP147,C03233,2026-06-22,43,195.0,1119.47,Team D
CL01215,GVP245,C01400,2025-06-06,47,63.2,411.27,Team D
CL01216,GVP115,C00973,2026-11-08,40,32.4,270.1,Team C
CL01217,GVP133,C01734,2026-11-17,61,52.4,242.88,Team A
CL01218,GVP153,C00588,2025-12-16,81,110.7,601.66,Team B
CL01219,GVP219,C03446,2025-09-01,20,120.1,715.65,Team A
CL01220,GVP227,C01331,2025-03-12,45,144.8,600.77,Team D
CL01221,GVP167,C03741,2026-04-22,30,48.4,411.41,Team C
CL01222,GVP249,C00834,2025-05-25,57,61.4,437.58,Team C
CL01223,GVP007,C03121,2025-04-03,38,170.5,1048.24,Team D
CL01224,GVP281,C02681,2026-03-30,61,103.9,599.95,Team B
CL01225,GVP214,C01069,2025-09-08,61,119.3,543.03,Team D
CL01226,GVP256,C01624,2025-02-04,74,227.1,1188.18,Team C
CL01227,GVP044,C01138,2025-01-27,21,84.8,396.53,Team C
CL01228,GVP085,C03211,2025-07-29,27,114.7,678.9,Team B
CL01229,GVP296,C02566,2026-03-05,72,160.9,938.68,Team D
CL01230,GVP151,C02396,2025-05-10,51,88.0,467.22,Team C
CL01231,GVP254,C01238,2025-08-06,95,218.9,1125.1,Team A
CL01232,GVP259,C03288,2025-06-29,21,124.0,708.05,Team B
CL01233,GVP132,C03297,2026-07-23,53,36.5,229.75,Team A
CL01234,GVP219,C03878,2026-01-05,33,67.2,357.42,Team C
CL01235,GVP086,C00399,2026-05-03,33,166.4,820.53,Team D
CL01236,GVP073,C01214,2026-08-11,52,122.8,604.07,Team D
CL01237,GVP165,C02489,2026-01-28,98,65.6,400.29,Team A
CL01238,GVP265,C00056,2025-09-22,119,93.0,528.44,Team D
CL01239,GVP124,C00089,2026-03-22,111,98.7,612.51,Team A
CL01240,GVP211,C02885,2026-01-12,60,50.0,275.97,Team A
CL01241,GVP066,C01825,2025-01-07,162,114.1,733.65,Team A
CL01242,GVP243,C03751,2025-07-16,24,103.6,557.74,Team C
CL01243,GVP205,C03552,2025-08-25,54,111.3,665.73,Team C
CL01244,GVP139,C02779,2026-08-02,30,183.7,1141.15,Team A
CL01245,GVP193,C02430,2026-10-08,40,134.8,854.94,Team D
CL01246,GVP175,C00957,2025-11-20,53,83.1,486.58,Team B
