gvp_id,lat,lon,total_complaints,recurrence_count,recurrence_rate,average_days_between_complaints,average_cleanup_interval,distance_to_market_m,distance_to_bin_m,collection_frequency_per_week,near_school,near_bus_stop,population_density,risk_level
GVP250,17.764444,83.321749,14,13,0.9285714285714286,51.61538461538461,65.5,396,99,6,True,False,low,Medium
GVP251,17.747155,83.323815,27,26,0.9629629629629629,25.615384615384617,25.5,136,244,2,True,True,low,High
GVP252,17.76595,83.32195,13,12,0.9230769230769231,58.833333333333336,58.833333333333336,608,56,6,False,True,medium,Low
GVP253,17.732414,83.290285,16,14,0.875,39.93333333333333,43.46153846153846,177,95,5,True,True,high,Medium
GVP254,17.764223,83.311822,3,2,0.6666666666666666,81.0,83.0,172,54,7,True,True,high,Low
GVP255,17.734144,83.319221,5,4,0.8,163.0,160.75,298,37,5,True,True,high,Low
GVP256,17.756269,83.283445,6,5,0.8333333333333334,133.8,222.33333333333334,316,78,5,True,False,medium,Low
GVP257,17.753355,83.300218,15,14,0.9333333333333333,44.785714285714285,48.15384615384615,123,153,1,False,True,medium,Medium
GVP258,17.745153,83.329074,8,7,0.875,97.0,113.0,53,83,5,True,False,medium,Low
GVP259,17.728113,83.285563,12,11,0.9166666666666666,54.18181818181818,54.72727272727273,571,49,4,False,True,high,Medium
GVP260,17.771283,83.310074,21,20,0.9523809523809523,32.85,41.1875,84,125,7,True,False,low,Medium
GVP261,17.748302,83.281851,6,4,0.6666666666666666,50.8,89.5,208,5,6,True,True,medium,Low
GVP262,17.759873,83.291907,19,18,0.9473684210526315,37.111111111111114,43.46666666666667,10,267,2,True,False,medium,High
GVP263,17.744346,83.318531,24,22,0.9166666666666666,27.391304347826086,31.4,268,117,4,False,False,medium,Medium
GVP264,17.762774,83.315564,18,17,0.9444444444444444,41.411764705882355,50.285714285714285,146,108,5,True,False,low,Medium
GVP265,17.719529,83.330637,8,7,0.875,68.85714285714286,68.42857142857143,199,138,6,False,False,medium,Low
GVP266,17.757372,83.298611,8,7,0.875,82.0,95.83333333333333,10,320,1,False,True,medium,Medium
GVP267,17.766345,83.31027,10,9,0.9,67.0,75.625,438,5,4,True,True,medium,Medium
GVP268,17.748123,83.280376,8,7,0.875,94.14285714285714,104.16666666666667,295,74,7,False,True,low,Low
GVP269,17.730372,83.284831,3,2,0.6666666666666666,245.5,245.0,36,23,7,True,False,high,Low
GVP270,17.72761,83.325061,5,4,0.8,111.25,148.0,612,26,7,False,False,low,Low
GVP271,17.73927,83.319848,17,15,0.8823529411764706,39.0,43.285714285714285,405,5,6,False,True,high,Medium
GVP272,17.756773,83.287977,16,15,0.9375,42.2,45.214285714285715,417,43,4,False,False,medium,Medium
GVP273,17.746391,83.280588,13,12,0.9230769230769231,55.583333333333336,95.85714285714286,234,91,7,False,False,low,Medium
GVP274,17.719394,83.29554,12,11,0.9166666666666666,55.09090909090909,67.33333333333333,80,245,1,True,False,low,Medium
GVP275,17.72391,83.286956,13,12,0.9230769230769231,60.25,60.25,120,143,3,False,True,low,Medium
GVP276,17.745712,83.283305,12,11,0.9166666666666666,58.0,78.75,204,68,6,False,True,low,Medium
GVP277,17.730434,83.296209,19,18,0.9473684210526315,37.611111111111114,40.1764705882353,10,12,2,True,True,high,High
GVP278,17.728089,83.285036,5,4,0.8,42.25,42.5,518,98,5,False,True,low,Low
GVP279,17.737166,83.315933,18,17,0.9444444444444444,34.705882352941174,45.69230769230769,98,132,4,True,True,medium,Medium
GVP280,17.726713,83.305566,7,6,0.8571428571428571,68.5,82.2,107,49,5,False,True,low,Low
GVP281,17.761243,83.28966,6,5,0.8333333333333334,95.6,119.5,174,5,6,True,True,low,Low
GVP282,17.727125,83.304685,7,6,0.8571428571428571,111.33333333333333,61.25,497,32,5,True,True,medium,Low
GVP283,17.730246,83.294629,11,10,0.9090909090909091,60.2,67.11111111111111,74,86,2,False,True,medium,Medium
GVP284,17.740995,83.290621,27,26,0.9629629629629629,26.923076923076923,30.47826086956522,10,220,1,False,False,high,High
GVP285,17.731403,83.291284,8,7,0.875,78.71428571428571,91.66666666666667,258,49,5,True,True,medium,Low
GVP286,17.740499,83.296311,28,27,0.9642857142857143,26.074074074074073,29.333333333333332,91,366,1,True,True,low,High
GVP287,17.76035,83.289522,21,18,0.8571428571428571,32.65,38.35294117647059,10,292,1,True,True,high,High
GVP288,17.733344,83.326313,9,8,0.8888888888888888,83.875,84.375,108,71,4,True,True,medium,Medium
GVP289,17.726735,83.327819,14,13,0.9285714285714286,55.38461538461539,59.916666666666664,13,95,4,False,True,low,Medium
GVP290,17.733699,83.283839,6,5,0.8333333333333334,127.2,159.0,222,5,3,False,True,low,Medium
GVP291,17.758188,83.295171,16,14,0.875,44.13333333333333,46.857142857142854,260,140,4,False,True,medium,Medium
GVP292,17.729413,83.303331,27,26,0.9629629629629629,26.346153846153847,29.565217391304348,10,240,1,False,True,high,High
GVP293,17.721362,83.318761,11,10,0.9090909090909091,62.7,62.7,194,57,4,False,True,high,Medium
GVP294,17.730329,83.296362,21,19,0.9047619047619048,34.5,35.1578947368421,148,116,2,True,False,low,High
GVP295,17.743241,83.296297,13,12,0.9230769230769231,54.5,54.333333333333336,316,153,4,True,False,medium,Medium
GVP296,17.744441,83.291908,19,18,0.9473684210526315,36.833333333333336,36.77777777777778,10,232,1,True,False,medium,High
GVP297,17.766915,83.32172,8,6,0.75,79.28571428571429,75.2,608,6,6,False,False,medium,Low
GVP298,17.741068,83.294466,24,23,0.9583333333333334,31.47826086956522,45.0,175,285,1,True,True,medium,High
GVP299,17.767083,83.295438,19,18,0.9473684210526315,39.72222222222222,44.625,37,235,2,True,True,medium,High
GVP300,17.733762,83.282964,10,9,0.9,51.111111111111114,65.57142857142857,184,46,7,False,False,low,Low
